is হয়
with দিয়ে
king রাজার
park উদ্যান
related বৈষ্ণব
a.d খ্রীস্টাব্দে
service চাকরি
rat ইঁদুর
increase বেড়েছে
accuracy সত্যতা
golden সোনালী
installation আধানের
structure কাঠামোর
arranged আয়োজন
consciousness সচেতনতা
win জয়লাভ
progressive প্রগতিশীল
separate বিচ্ছিন্ন
total পূর্ণ
society সমাজ
populous জনবহুল
can পেরে
root বুৎপত্তি
dacca ঢাকা
approximate মোটামুটি
collect জড়ো
governance শাসনভার
amendment সংশোধন
tripura ত্রিপুরা
children চিলড্রেন
famous খ্যাতনামা
weapon অস্ত্র
obstruction রোধ
efficient কার্যকর
disease রোগ
say জানাই
up উঠে
know জানত
ruling ক্ষমতাসীন
message বার্তা
subsequently ক্রমে
guinea-bissau গিনি-বিসাউ
aggravated অতিরঞ্জিত
meet মিলন
allocated বরাদ্দ
that যেটির
level স্তরে
protection রক্ষণাবেক্ষণ
expenses খরচ
classical শাস্ত্রীয়
ad খ্রিস্টাব্দে
direction দিক
sometimes কখনও
brazil ব্রাজিলে
abandonment বিসর্জন
root ধাতুর
pandava পাণ্ডব
theme বিষয়বস্তুর
famous স্বনামধন্য
house কক্ষের
on উপর
pakistani পাকিস্তানী
die নিহত
mars মার্স
peninsula উপদ্বীপের
surface ভূখণ্ড
arab আরব
happened ঘটলে
portion ভাগই
market মার্কেট
fighter যোদ্ধা
pillar ভারা
astronomic নাক্ষত্রিক
brian ব্রায়ান
fund তহবিল
summation যোগ
mitro মিত্র
school স্কুলের
danube দানিউব
diagnose সনাক্ত
cellular কোষের
thought ধারনা
measurement পরিমাপে
natives বাসিন্দাদের
pioneer অগ্রণী
background পটভূমি
question প্রশ্ন
naturally প্রকৃতপক্ষে
sophocles সফোক্লিস
sermons উপদেশ
desired ইস্ট
only মাত্র
titanium টাইটানিয়াম
hint ইঙ্গিত
types ধরনের
definition সংজ্ঞা
carefully যত্ন
eternal সনাতন
100 শত
ares এয়স
arrest গ্রেফতার
kamal কামাল
childs কিশোরের
experts বিশেষজ্ঞদের
later পরবর্তীকালে
mark চিহ্ন
language ভাষা
put উপস্থাপন
entire চির
otherwise অন্যভাবে
sovereign সার্বভৌম
relate ব্যক্ত
manure সার
shell শেল
rape ঘর্ষণ
present বিদ্যমান
thought চিন্তাধারায়
pakistani পাকিস্তানি
alpha আলফা
transfer স্থানান্তর
salute সাল্লাম
sure নিশ্চিত
billion বিলিয়ন
semiconductor অর্ধপরিবাহী
public জনতা
romance রোমান্স
supernatural তন্ত্র
intermediate মধ্যবর্তী
numbers সংখ্যাকে
sailor নাবিক
took নিয়েছিল
save সংরক্ষণের
notice ঘোষণাপত্র
year সাল
debi দেবী
linguist ভাষাবিজ্ঞানী
lose হাড়
announce প্রচার
made করলে
treasure সম্পদ
theory তত্ত্ব
about নিয়েও
1855 ১৮৫৫
a এ
cup কাপের
aggrieved ক্ষুব্ধ
reign আমলে
commonwealth কমনওয়েলথ
exceeded অতিক্রম
size আকারের
reduce হ্রাস
deb দেবতা
divided বিভক্ত
maidservant দাসী
