loss scăderea
trains terenuri
deposited depus
whom cui
south s
protect apără
magazines revistele
crusade cruciada
organisation organizației
traditional tradițional
truth adevărul
these aceste
experience experiențe
egyptian egipteană
wood pădure
main magistrala
dimensions dimensiunile
military militarii
can poată
expressions expresii
end finele
developed desfășurat
road drum
legislature puterea
arranged amenajat
distances distanțe
less putin
especially special
institute institutul
unique unicul
classes clase
around jur
identical identice
suicide sinucis
gone dus
support sprijinul
choose opta
hidden ascuns
met cunoștință
apparel ținută
shown arătat
support sprijină
today azi
continuity continuitatea
lives trăiește
documents acte
theories teorii
oceans oceane
collected adunat
comes vin
talks vorbește
located amplasată
orchid orhidee
powerful puternice
works lucrărilor
chain lanț
leave pleca
persian persană
building bloc
king regi
molybdate molibden
spot loc
me mă
substance substanțele
structure edificiu
claimed susținea
others alții
his lui
meet satisface
entered intrat
considerable considerabilă
foots picioarele
figures cifre
push dă
legends legendele
made făcut
entry intrării
appearance apariții
submitted transmis
being aflate
originals originale
internal intern
yours ta
errors erori
standards standardelor
particle afix
changed schimbată
constitutional constituțional
consumption consumului
rings inelele
bucharest bucureștiului
areas domeniile
high înaltă
connected legat
gives acorda
incapacity incapacitatea
emblem stemele
water apă
name ionel
areas localitățile
census recensământului
units unitățile
name horia
style gen
bought cumpărat
nature caracterului
work lucrul
freed eliberată
destroyed distrusă
powerful puternici
divine divină
walls zidurilor
coordinated coordonate
feeling sentimentul
inheritance moștenire
organizing organizat
operating operare
petrol petrolul
top frunte
parity egalitate
countries țărilor
importance importanța
persons ființe
energetics energetice
mine meu
egypt egipt
kilometre kilometri
returned nivelul
celtics celtice
taste gust
increasing crescând
god dumnezeul
foot poalele
reserves rezerve
water apelor
global globală
optical optice
refusal refuzul
technical tehnic
take ia
autonomous autonomă
amount suma
revival renașterea
control controla
americans americane
insured asigurată
acknowledge recunoaște
citadel cetate
renown renumiți
section secția
kingdom regatul
rights drepturilor
legend legendă
stairs trepte
highland podișul
symbol simbolul
union uniunea
data date
proclamation proclamarea
sends transmite
normal normale
second doua
suggest sugerează
simultaneously simultan
emergency urgență
poems poeme
illness boala
hard grele
influence influența
group grupa
name thomas
considered considerat
execution execuția
attack atace
remind aminti
artistic artistice
huge imensă
labor muncii
accord acordat
mediterranean mediteraneană
biography biografice
school școlii
hungary ungariei
opens deschidere
middle miezul
statistics statistică
minutes minute
out scoase
aimed urmărea
medicine medicina
license licență
lady doamna
pyramid piramide
fifteen cincisprezece
fleet marina
defeat înfrângerea
which cărei
other alți
lyrical lirice
sculptures sculpturi
human omului
guitar chitară
archbishop arhiepiscop
academy academia
speculating considerând
draft curentul
facilities facilități
nowadays contemporană
processes procesele
occidental occidentală
monuments monumente
etymological etimologic
surpass depăși
constanta constanța
satellites sateliți
certain anumite
long lungi
frontier frontiera
correspondence corespondență
principles principiului
equivalent echivalentul
external extern
maximum maximă
sector sectorului
stone piatra
difficulty greutatea
especially îndeosebi
russian rusă
extract extras
plump hotărât
aspects motive
east estul
startled stârnit
original originală
research cercetările
assign atribuie
prisoner prizonier
org orgă
treatments tratamente
build construiască
army armate
coin monedă
car automobile
